sol,min_temp,max_temp
333,172.8985,245.57999999999998
334,173.633,247.05399999999997
335,173.09449999999998,246.644
336,172.3555,246.4685
337,172.14350000000002,246.227
338,171.5505,246.85399999999998
339,173.9885,246.7125
340,172.5925,246.3895
341,173.4545,246.829
342,173.925,248.43349999999998
343,172.9545,247.7055
344,173.695,247.8065
345,173.824,247.128
346,172.142,247.4015
347,171.92149999999998,247.586
348,171.2535,247.85899999999998
350,170.6765,247.7855
351,173.4475,247.3535
352,172.92950000000002,247.501
353,173.026,246.897
354,174.1095,247.09050000000002
355,174.05200000000002,248.34300000000002
356,173.9765,248.5465
357,172.73250000000002,249.12599999999998
358,173.676,248.053
359,174.52100000000002,249.18849999999998
360,173.49450000000002,249.48199999999997
361,175.4375,250.92450000000002
362,175.075,248.78300000000002
363,173.9035,249.3435
364,173.6725,249.4655
365,174.8055,248.7885
366,174.6415,249.162
367,173.80200000000002,249.752
368,173.55599999999998,251.2185
369,175.3725,250.56449999999998
370,174.748,250.4805
371,177.02800000000002,250.18599999999998
372,176.448,250.01
373,175.9565,250.4055
374,176.54149999999998,249.9835
375,175.962,250.27499999999998
376,175.4185,250.781
377,176.348,250.9955
378,176.424,250.773
379,177.554,250.80349999999999
380,175.579,250.5675
381,175.7115,251.475
382,177.0695,251.0205
383,175.5195,253.157
384,177.113,251.339
385,177.563,252.698
386,176.42149999999998,252.0775
387,174.9835,251.819
388,174.9515,252.48000000000002
389,174.5445,251.8335
390,173.659,252.3465
391,174.758,252.184
392,175.4875,253.08800000000002
393,176.035,253.13350000000003
394,174.911,253.44
395,174.1515,254.08499999999998
396,173.471,252.68099999999998
397,174.1055,254.582
398,173.078,253.348
399,175.738,253.90550000000002
400,174.5,253.755
401,173.4445,253.3555
402,173.998,254.411
403,172.506,253.5815
404,174.2,254.0335
405,171.27949999999998,254.5535
406,173.7145,254.5575
407,174.2505,254.7935
408,176.731,255.3695
409,175.0435,255.88
410,176.09699999999998,255.587
411,177.63049999999998,254.45749999999998
412,177.096,255.456
413,177.234,255.33050000000003
414,178.01749999999998,255.308
415,178.9275,256.91949999999997
416,180.122,257.174
417,179.639,256.6705
418,179.58100000000002,256.839
419,177.6055,258.538
420,180.13150000000002,257.436
421,180.51850000000002,257.663
422,183.67649999999998,259.4045
423,181.57850000000002,260.966
424,181.80200000000002,258.6015
425,183.1515,260.0445
426,182.114,260.92
427,182.17849999999999,261.0265
428,181.953,259.9165
429,178.765,259.156
430,180.54649999999998,258.5235
431,179.77249999999998,259.4585
432,179.57299999999998,259.6585
433,179.67200000000003,260.23850000000004
434,179.22500000000002,261.758
435,179.9245,258.4165
436,179.4135,259.389
437,178.9785,260.625
438,178.20850000000002,259.1155
439,178.93400000000003,259.818
440,178.6775,257.69550000000004
441,178.62099999999998,257.5435
442,179.51850000000002,257.573
443,178.8395,258.224
444,180.23399999999998,257.31600000000003
445,180.946,257.874
446,180.25549999999998,258.2085
447,181.188,258.7855
448,179.53449999999998,258.3335
449,180.128,257.1875
450,180.097,258.3945
451,179.94799999999998,257.2045
452,179.688,257.03249999999997
453,178.579,257.964
454,177.9375,257.157
455,178.09300000000002,256.8405
456,178.7495,257.5265
457,177.7345,257.9525
458,177.7785,259.3025
459,177.938,258.536
460,177.135,259.1165
461,178.0605,259.676
462,177.14800000000002,258.38300000000004
463,179.4005,259.6705
464,178.364,259.146
465,178.477,260.50149999999996
466,178.3895,258.2355
467,179.0685,257.435
468,178.9075,258.1795
469,178.84449999999998,258.827
470,177.8675,261.308
471,178.628,261.91049999999996
472,179.3495,260.5645
473,179.3755,259.846
474,179.348,258.993
475,178.8055,249.391
476,,
477,,
478,,
479,,
480,,
481,,
482,186.34550000000002,258.84950000000003
483,178.66500000000002,262.08299999999997
484,179.038,262.02549999999997
485,179.89100000000002,260.111
486,178.785,260.3935
487,179.642,254.2285
488,,
489,187.1465,261.08
490,179.1995,261.2505
491,180.463,263.3725
